State:,IDENTIFIER,CONSTANT,STRING_LITERAL,SIZEOF,PTR_OP,INC_OP,DEC_OP,LEFT_OP,RIGHT_OP,LE_OP,GE_OP,EQ_OP,NE_OP,AND_OP,OR_OP,MUL_ASSIGN,DIV_ASSIGN,MOD_ASSIGN,ADD_ASSIGN,SUB_ASSIGN,LEFT_ASSIGN,RIGHT_ASSIGN,AND_ASSIGN,XOR_ASSIGN,OR_ASSIGN,TYPE_NAME,TYPEDEF,EXTERN,STATIC,AUTO,REGISTER,INLINE,RESTRICT,CHAR,SHORT,INT,LONG,SIGNED,UNSIGNED,FLOAT,DOUBLE,CONST,VOLATILE,VOID,BOOL,COMPLEX,IMAGINARY,STRUCT,UNION,ENUM,ELLIPSIS,CASE,DEFAULT,IF,ELSE,SWITCH,WHILE,DO,FOR,GOTO,CONTINUE,BREAK,RETURN,primary_expression,(,expression,),postfix_expression,[,],argument_expression_list,.,type_name,{,initializer_list,},",",assignment_expression,unary_expression,unary_operator,cast_expression,&,*,+,-,~,!,multiplicative_expression,/,%,additive_expression,shift_expression,relational_expression,<,>,equality_expression,and_expression,exclusive_or_expression,^,inclusive_or_expression,|,logical_and_expression,logical_or_expression,conditional_expression,?,:,assignment_operator,=,constant_expression,declaration,declaration_specifiers,;,init_declarator_list,storage_class_specifier,type_specifier,type_qualifier,function_specifier,init_declarator,declarator,initializer,struct_or_union_specifier,enum_specifier,struct_or_union,struct_declaration_list,struct_declaration,specifier_qualifier_list,struct_declarator_list,struct_declarator,enumerator_list,enumerator,pointer,direct_declarator,type_qualifier_list,parameter_type_list,identifier_list,parameter_list,parameter_declaration,abstract_declarator,direct_abstract_declarator,designation,designator_list,designator,statement,labeled_statement,compound_statement,expression_statement,selection_statement,iteration_statement,jump_statement,block_item_list,block_item,translation_unit,external_declaration,function_definition,declaration_list,S',$r
0, , , , , , , , , , , , , , , , , , , , , , , , , ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26,27, , ,28,29,30,31, , , ,32,33,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,36,37, , , 
1,r109, , , , , , , , , , , , , , , , , , , , , , , , ,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109, , , , , , , , , , , , , , ,r109, , , , , , , , , , , , , , , , , ,r109, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r109, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,r90, , , , , , , , , , , , , , , , , , , , , , , , ,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90, , , , , , , , , , , , , , ,r90, , , , , , , , , , , , , , , , , ,r90, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,r91, , , , , , , , , , , , , , , , , , , , , , , , ,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91, , , , , , , , , , , , , , ,r91, , , , , , , , , , , , , , , , , ,r91, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,r92, , , , , , , , , , , , , , , , , , , , , , , , ,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92, , , , , , , , , , , , , , ,r92, , , , , , , , , , , , , , , , , ,r92, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r92, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,r93, , , , , , , , , , , , , , , , , , , , , , , , ,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93, , , , , , , , , , , , , , ,r93, , , , , , , , , , , , , , , , , ,r93, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,r94, , , , , , , , , , , , , , , , , , , , , , , , ,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94, , , , , , , , , , , , , , ,r94, , , , , , , , , , , , , , , , , ,r94, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r94, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,r139, , , , , , , , , , , , , , , , , , , , , , , , ,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139,r139, , , , , , , , , , , , , , ,r139, , , , , , , , , , , , , , , , , ,r139, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r139, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,r137, , , , , , , , , , , , , , , , , , , , , , , , ,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137, , , , , , , , , , , , , , ,r137, , , , , , , , , , , , , , , , , ,r137, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r137, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,r96, , , , , , , , , , , , , , , , , , , , , , , , ,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96, , , , , , , , , , , , , , ,r96, , , , , , , , , , , , , , , , , ,r96, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
